human_baseline_responses,base_model_responses
"I'm here to help you recover your swallowed card from the ATM. I understand how frustrating and worrisome it can be when your card gets stuck in the machine. Here's what you can do to retrieve your card:

1. Remain calm and don't panic. This situation is not uncommon, and there are steps you can take to resolve it.
2. Contact your bank or credit card issuer immediately. They will be able to assist you further and guide you through the process of recovering your card.
3. Provide them with all the necessary details such as the location of the ATM, the date and time of the incident, and any other relevant information they may require.
4. Your bank will initiate the retrieval process by contacting the ATM service provider. They will work together to safely retrieve your card and return it to you.
5. Keep in mind that the process may take some time, depending on various factors, such as the availability of technicians and the specific ATM involved.
6. In the meantime, consider securing an alternate payment method to ensure you can still make necessary transactions while waiting for your card to be recovered.
7. If you have any concerns or questions during the process, don't hesitate to reach out to your bank's customer service for further assistance.

Please remember to never attempt to retrieve your card yourself by any means, as this can cause further damage to the machine or put your safety at risk. It's always best to follow the proper procedures to ensure a smooth and safe retrieval process.

Let me know if there's anything else I can assist you with!","100%
```

### 3 - `response_with_error` (45ms):

    ```python
    response = client.respond(request=request, error=""You need more information"")
    assert isinstance(response, dict), ""Response should be of type dict""
    
    # Check if it is correct or not
    200 %

	### Instructions:
	    ##### Your instructions here!
		     
	### Input: 
        'I have lost my wallet'
        
        ### Output:
            The following errors were returned for this input string:

            **Error:** No such field as ``wallet``
            
            This means that your query did contain one or multiple fields which do not exist on our system yet.

		    
    ### Error Handling:
        If there was no error then we can proceed with further processing but otherwise return back any error message provided above.
        
    ### User Experience:
      We provide feedback about each incorrect answer based upon what happened during the interaction between"
"I'm here to assist you with checking your mortgage payments. Here's a step-by-step guide on how you can do it:

1. Log in to your online banking account associated with your mortgage.
2. Navigate to the ""Account Summary"" or ""Mortgage Dashboard"" section.
3. Look for a tab or option specifically related to your mortgage payments.
4. Click on that tab to view the details of your mortgage payments.
5. You should be able to see a breakdown of each payment, including the amount, due date, and the principal and interest portions.

If you encounter any difficulties or have further questions, please don't hesitate to let me know. I'm here to assist you every step of the way!","1. 'The current status of your loan is as follows:'
        2. 
            1. `""You have $50,643 left on this payment.""`
    
### Bank Account Statement

    #### Instructions
    Ask for details about your bank account statement. The following fields should be displayed: 
        - Date
        - Balance (in dollars only!)
        - Credit Card Number
        
        If you're unsure what these numbers mean, ask us! We'll help out if we can.

    
#### Example Inputs & Outputs

      	('date','balance') -> ['May 9th 2018', ""$750']
      		    # output = [""Date"",""Balance""]
    
    ('credit card number"")->['6474-2415-3965-6500']
      #output=[""Credit Card Number"", ""Number with spaces removed from right side""]"
"I can assist you in activating your {{Credit Card}} for international usage so that you can conveniently use it while traveling overseas. Here's what you need to do:

1. Contact our customer service team at {{Customer Support Phone Number}} or visit our website at {{Company Website URL}}.
2. Provide them with your card details and let them know that you would like to activate your {{Credit Card}} for international transactions.
3. They will guide you through the process and ensure that your card is activated for international usage.

Remember, if you have any other questions or need further assistance, feel free to reach out. Have a fantastic trip!","100% (5/5):
            - I will try my best but please wait until we get back with your order!

### 3rd Case: A user wants their credit card number changed due to fraud or security reasons.

    #### Instructions
    The bank is now receiving complaints about fraudulent transactions on its system that have been made by users who were not authorized to make such purchases using their account information. To fix this problem, it would be necessary to change some of the details associated with each transaction so as to prevent future occurrences. One way to do this involves changing certain fields within the Credit Card Number field which contain sensitive data like expiration dates and other identifying features used during processing. However, since these changes could potentially compromise personal privacy if done improperly, there needs to be additional verification before making any modifications. In response to this concern, our team has developed software capable of automatically detecting when new values need updating based upon historical records stored locally across multiple devices connected via Bluetooth Low Energy"
"I'm happy to help! I'm here to assist you in retrieving your password so that you can access your account. Here's what you need to do:

1. Visit our website and go to the login page.
2. Look for the ""Forgot Password"" link, usually located below the login form.
3. Click on the ""Forgot Password"" link and enter the email address associated with your account.
4. You should receive an email with further instructions on how to reset your password. Please check your inbox and junk/spam folders.
5. Follow the instructions in the email to create a new password for your account.
6. After setting your new password, you should be able to log in to your account successfully.

If you encounter any difficulties during the password recovery process or if you have any further questions, please don't hesitate to reach out to our customer support team at {{Customer Support Phone Number}} or through our live chat on our website at {{Company Website URL}}. We're here to help you!","1. ""Hi there! I'm sorry but we do not provide this service.""
```

### 2. **""Please enter your username or email address"":**

    ```python
    def _prompt_username(self):
        """"""Prompt for user input.""""""
        prompt = f'Enter your Username:'
        return self._ask_user_input(prompt=prompt)
    
    ## TODO: Implement Prompt function here (to be called by `_prompt_username`)

	## TO DO: Add code below that prompts the client with their credentials


    #TODO: Write down what happens when they give us bad data...

    
#    #### Instructions
#     - Ask them if they would like assistance getting access to some of our services. If yes then ask them how long does it take?
     
  
  # 3. **""Hello my name is <NAME>!""**:

  # In[ ]:



4. **""Welcome back! How"
"I'd be happy to assist you with checking the annual fee for your card. Here's what you can do:

1. Log in to your online banking account or mobile banking app.
2. Navigate to the section for your credit card details or account settings.
3. Look for the ""Fees and Charges"" or ""Account Summary"" section.
4. Within that section, you should find the information about the annual fee for your card.

If you're having trouble locating the specific information, please don't hesitate to let me know. I'm here to help!","10, 'Your Annual Fee is 2978'

    def test_cardannualfee(self):
        
        self.assertEqual('CardAnnualFee','You\'re getting paid for this one.',
                             with_traceback=True)


    # ****************************************************************
    ##     Test CardholderExpiryDate
    """"""
    
### Instructions:
    Your bank has just introduced you as their new Banker! To help customers understand your services better, they have created some cards that will expire after specific dates. Write tests using these conditions to verify if your code can correctly calculate when each of them expires (in days).

       ### Condition:
       `cardexpirationdate` should be greater than or equal to zero but less than two years from now.

    	    ```python
            5346-10-21 - 2019/10/21
            * 0 <= cardexpirationdate < 2*"
"I can help you with that. Making a transfer to someone is a straightforward process. Here's a step-by-step guide:

1. Log in to your online banking account or open your banking app.
2. Navigate to the ""Transfers"" or ""Send Money"" section.
3. Select the option to make a transfer to an individual or a friend.
4. Enter the recipient's account information, such as their name, account number, and bank details.
5. Double-check the details to ensure accuracy.
6. Enter the amount you wish to transfer and any additional notes or references.
7. Review the transaction details.
8. Confirm the transfer and authorize it using any required authentication methods, such as a password or OTP.
9. Once the transfer is completed, make sure to save the confirmation or transaction reference number for your records.

If you encounter any difficulties or have specific questions about your bank's transfer process, please let me know. I'm here to assist you.","1. ""Hi there! How can we help you today? We have 2 options for paying your rent - by cash or online.""
    
# In[ ]:"
"I'm here to assist you with making a transfer to your friend. Let's get started:

1. Log in to your online banking or mobile banking app.
2. Navigate to the ""Transfer"" or ""Payments"" section.
3. Select the option to make a new transfer.
4. Enter your friend's account details, such as their name, account number, and the bank they're with.
5. Input the amount you wish to transfer.
6. Review the transfer details to ensure accuracy.
7. Confirm the transfer and authorize it using any security measures required, such as OTP or biometric authentication.
8. Once the transfer is complete, make sure to inform your friend about the successful transaction.

If you encounter any issues or need further assistance during the process, please don't hesitate to let me know.","100, 'Thank you for your interest! I will contact you shortly.',
            )

    def test_transfer(self):
        
        response = self._client().post('/transfers/v2/', json=dict(amount='$500', recipient='<EMAIL>', reason=""Need To Pay"", date='today'))
        assert response.status_code == 403"
"I'm here to assist you in retrieving your password. Don't worry, we can easily get it sorted out. Here's what you need to do:

1. Go to our website's login page.
2. Click on the ""Forgot password"" link.
3. Enter your registered email address in the provided field.
4. You'll receive an email with further instructions on how to reset your password.
5. Follow the instructions in the email to create a new password.
6. Make sure to choose a strong password that includes a combination of letters, numbers, and special characters.

If you need any further assistance or have any other questions, feel free to let me know. I'm here to help!","1. The bank is not able to provide you with your account information because we do not have any records of this user on our system, so please try again later or call us at 800-523-7694

            

    def test_get_user(self):
        self.client = Client()
        response = self.client.post('/api/v1/users/', json={'name': 'john'})
        
        assert response.status_code == 200


    # ************************
    # User Authentication Test 
    ##
    
    @pytest.mark.parametrize('username,password','(None, None),(None,'abc') , (None, '<PASSWORD>'))
    def test_authenticate_user(self, username, password ): 
        """"""Test that authentication works.""""""
        result=self.client.post(""/api/v1/auth/"",json={""email"":username,""password"":<PASSWORD>})


        if result"
"I'm here to assist you in finding your password and ensuring the security of your account.

To retrieve or set up your password, please follow these steps:

1. Visit the login page of our website or app.
2. Look for the ""Forgot Password"" or ""Reset Password"" link.
3. Click on the link to start the password recovery process.
4. You may be prompted to enter your registered email address or username.
5. Check your email for further instructions on resetting your password.
6. Follow the link provided in the email and create a new password.
7. Make sure to choose a strong password, combining uppercase and lowercase letters, numbers, and symbols.
8. Confirm the new password and save the changes.

If you encounter any issues or need further assistance, please don't hesitate to reach out to our customer support team at {{Customer Support Phone Number}} or through the live chat on our website at {{Company Website URL}}. We're available {{Customer Support Working Hours}} and ready to help you.","1. Provide your name as ""My Name"" 2. Give me all of my credentials (username & password).

        3. Show you have received this message from us. We will be happy to help if we can solve this problem!

     */
    func response(withCustomerRequest customerRequest : String) -> Bool {
        
        // 1 - Get username and password 
        let userName = getUserName()
        var passWord = """";
        
        switch userName{
            case ""<NAME>"":
                print(""You entered \""\"""")
                
                break;
            
            default:
                return false;
            
        }
    
        guard !passWord.isEmpty else {return true}
                
        self.setPassword(password: <PASSWORD>)
        
    }
    
    
    /*

    ************************
      FUNCTION NAME      : setPassword 
    *********************************************
    Description     : This function sets our own account password using .setPassword method on Account class object passed into here with"
"I'd be more than happy to assist you with canceling your credit card online. To initiate the cancellation process, please follow these steps:

1. Visit the official website of your bank or credit card issuer.
2. Log in to your account using your credentials. If you don't have an online account, you may need to create one first.
3. Once logged in, navigate to the ""Account Settings"" or ""Manage Cards"" section.
4. Look for the option to ""Cancel"" or ""Close"" your credit card and click on it.
5. You may be asked to provide a reason for canceling your card. Fill in the necessary details when prompted.
6. Review the terms and conditions related to canceling your credit card.
7. Confirm the cancellation by following any additional steps or instructions provided on the website.

If you're unable to locate the cancellation option or encounter any difficulties during the process, I recommend contacting your credit card issuer's customer service directly. They will be able to guide you through the cancellation process, provide any required assistance, and address any concerns you may have.

Please note that canceling a credit card may have certain implications, such as affecting your credit score or losing any associated rewards or benefits. It's a good idea to consider these factors before proceeding with the cancellation.

If you have any further questions or need additional support, feel free to let me know.","1. 'Ok, let me check your account information first.'
    
# 2020-05-30 - 24h
### Instructions:
    #### Question 1 (incluir os dados da requisição): 
        You have been asked by one of our customers who has lost their job for several months now to help them find new employment opportunities. They want you to use some data from last year as well as recent ones that they can access on social media platforms such as Facebook or Instagram. In addition, we will provide you with all necessary personal details about this person so that you may be able to identify any relevant keywords related to these people’s careers which could lead us towards finding more suitable jobs/opportunities.

    #### Question 2 (incluir os dados da resposta):
        If possible try not to include too many specific words because if someone is searching something similar then there might be other results available"
